pack_id|prod_id|descr|pack|weight|volume|precision
2|62019|кор/8|8.0|0.0|0.0|
1|62020|шт/1|1.0|0.0|0.0|
2|62020|кор/36|36.0|0.0|0.0|
1|62021|шт/1|1.0|0.0|0.0|
2|62021|кор/8|8.0|0.0|0.0|
1|62022|шт/1|1.0|0.0|0.0|
2|62022|кор/4|4.0|0.0|0.0|
1|62023|шт/1|1.0|0.0|0.0|
1|62025|шт/1|1.0|0.0|0.0|
1|62026|шт/1|1.0|0.0|0.0|
1|62028|шт/1|1.0|0.0|0.0|
1|62029|шт/1|1.0|0.0|0.0|
2|62029|кор/12|12.0|0.0|0.0|
1|62030|шт/1|1.0|0.0|0.0|
2|62030|кор/48|48.0|0.0|0.0|
1|62031|шт/1|1.0|0.0|0.0|
2|62031|кор/72|72.0|0.0|0.0|
1|62032|шт/1|1.0|0.0|0.0|
2|62032|кор/50|50.0|0.0|0.0|
1|62033|шт/1|1.0|0.0|0.0|
2|62033|кор/12|12.0|0.0|0.0|
1|62034|шт/1|1.0|0.0|0.0|
2|62034|кор/12|12.0|0.0|0.0|
1|62035|шт/1|1.0|0.0|0.0|
2|62035|кор/12|12.0|0.0|0.0|
1|62036|шт/1|1.0|0.0|0.0|
1|62037|шт/1|1.0|0.0|0.0|
2|62037|кор/30|30.0|0.0|0.0|
1|62038|шт/1|1.0|0.0|0.0|
2|62038|кор/30|30.0|0.0|0.0|
1|62039|шт/1|1.0|0.0|0.0|
2|62039|кор/40|40.0|0.0|0.0|
1|62040|шт/1|1.0|0.0|0.0|
2|62040|кор/40|40.0|0.0|0.0|
1|62041|шт/1|1.0|0.0|0.0|
2|62041|кор/40|40.0|0.0|0.0|
1|62042|шт/1|1.0|0.0|0.0|
2|62042|кор/24|24.0|0.0|0.0|
1|62043|шт/1|1.0|0.0|0.0|
2|62043|кор/24|24.0|0.0|0.0|
1|62044|шт/1|1.0|0.0|0.0|
2|62044|кор/30|30.0|0.0|0.0|
1|62045|шт/1|1.0|0.0|0.0|
1|62046|шт/1|1.0|0.0|0.0|
1|62047|шт/1|1.0|0.0|0.0|
2|62047|кор/24|24.0|0.0|0.0|
1|62048|шт/1|1.0|0.0|0.0|
2|62048|кор/24|24.0|0.0|0.0|
1|62049|шт/1|1.0|0.0|0.0|
2|62049|кор/24|24.0|0.0|0.0|
1|62050|шт/1|1.0|0.0|0.0|
2|62050|кор/24|24.0|0.0|0.0|
1|62051|шт/1|1.0|0.0|0.0|
2|62051|кор/96|96.0|0.0|0.0|
1|62052|шт/1|1.0|0.0|0.0|
2|62052|кор/96|96.0|0.0|0.0|
1|62053|шт/1|1.0|0.0|0.0|
2|62053|кор/48|48.0|0.0|0.0|
1|62054|шт/1|1.0|0.0|0.0|
2|62054|кор/48|48.0|0.0|0.0|
1|62055|шт/1|1.0|0.0|0.0|
2|62055|кор/48|48.0|0.0|0.0|
1|62056|шт/1|1.0|0.0|0.0|
2|62056|кор/48|48.0|0.0|0.0|
1|62057|шт/1|1.0|0.0|0.0|
2|62057|кор/96|96.0|0.0|0.0|
1|62058|шт/1|1.0|0.0|0.0|
2|62058|кор/96|96.0|0.0|0.0|
1|62059|шт/1|1.0|0.0|0.0|
1|62060|шт/1|1.0|0.0|0.0|
2|62060|кор/96|96.0|0.0|0.0|
1|62061|шт/1|1.0|0.0|0.0|
2|62061|кор/48|48.0|0.0|0.0|
1|62062|шт/1|1.0|0.0|0.0|
2|62062|кор/48|48.0|0.0|0.0|
1|62063|шт/1|1.0|0.0|0.0|
2|62063|кор/48|48.0|0.0|0.0|
1|62064|шт/1|1.0|0.0|0.0|
2|62064|кор/48|48.0|0.0|0.0|
1|62065|шт/1|1.0|0.0|0.0|
2|62065|кор/48|48.0|0.0|0.0|
1|62066|шт/1|1.0|0.0|0.0|
2|62066|кор/30|30.0|0.0|0.0|
1|62067|шт/1|1.0|0.0|0.0|
2|62067|кор/48|48.0|0.0|0.0|
1|62068|шт/1|1.0|0.0|0.0|
2|62068|кор/48|48.0|0.0|0.0|
1|62069|шт/1|1.0|0.0|0.0|
2|62069|кор/96|96.0|0.0|0.0|
1|62070|шт/1|1.0|0.0|0.0|
2|62070|кор/96|96.0|0.0|0.0|
1|62071|шт/1|1.0|0.0|0.0|
2|62071|кор/48|48.0|0.0|0.0|
1|62072|шт/1|1.0|0.0|0.0|
2|62072|кор/96|96.0|0.0|0.0|
1|62073|шт/1|1.0|0.0|0.0|
2|62073|кор/24|24.0|0.0|0.0|
1|62074|шт/1|1.0|0.0|0.0|
2|62074|кор/20|20.0|0.0|0.0|
1|62075|шт/1|1.0|0.0|0.0|
2|62075|кор/20|20.0|0.0|0.0|
1|62076|шт/1|1.0|0.0|0.0|
2|62076|кор/4|4.0|0.0|0.0|
1|62077|шт/1|1.0|0.0|0.0|
2|62077|кор/3|3.0|0.0|0.0|
1|62078|шт/1|1.0|0.0|0.0|
2|62078|кор/10|10.0|0.0|0.0|
1|62079|шт/1|1.0|0.0|0.0|
2|62079|кор/40|40.0|0.0|0.0|
3|62079|спайка/6|6.0|0.0|0.0|
1|62080|шт/1|1.0|0.0|0.0|
2|62080|кор/40|40.0|0.0|0.0|
3|62080|спайка/6|6.0|0.0|0.0|
1|62081|шт/1|1.0|0.0|0.0|
2|62081|кор/40|40.0|0.0|0.0|
3|62081|спайка/6|6.0|0.0|0.0|
1|62082|шт/1|1.0|0.0|0.0|
2|62082|кор/105|105.0|0.0|0.0|
1|62083|шт/1|1.0|0.0|0.0|
2|62083|кор/105|105.0|0.0|0.0|
1|62084|шт/1|1.0|0.0|0.0|
2|62084|кор/105|105.0|0.0|0.0|
1|62085|шт/1|1.0|0.0|0.0|
2|62085|кор/90|90.0|0.0|0.0|
1|62086|шт/1|1.0|0.0|0.0|
2|62086|кор/90|90.0|0.0|0.0|
1|62087|шт/1|1.0|0.0|0.0|
2|62087|кор/90|90.0|0.0|0.0|
1|62088|шт/1|1.0|0.0|0.0|
2|62088|кор/12|12.0|0.0|0.0|
1|62089|шт/1|1.0|0.0|0.0|
1|62090|шт/1|1.0|0.0|0.0|
2|62090|кор/12|12.0|0.0|0.0|
1|62091|шт/1|1.0|0.0|0.0|
2|62091|кор/24|24.0|0.0|0.0|
1|62093|шт/1|1.0|0.0|0.0|
2|62093|кор/24|24.0|0.0|0.0|
1|62094|шт/1|1.0|0.0|0.0|
2|62094|кор/32|32.0|0.0|0.0|
1|62095|шт/1|1.0|0.0|0.0|
2|62095|кор/32|32.0|0.0|0.0|
1|62096|шт/1|1.0|0.0|0.0|
2|62096|кор/32|32.0|0.0|0.0|
1|62097|шт/1|1.0|0.0|0.0|
2|62097|кор/32|32.0|0.0|0.0|
1|62098|шт/1|1.0|0.0|0.0|
2|62098|кор/24|24.0|0.0|0.0|
1|62099|шт/1|1.0|0.0|0.0|
2|62099|кор/24|24.0|0.0|0.0|
1|62100|шт/1|1.0|0.0|0.0|
2|62100|кор/24|24.0|0.0|0.0|
1|62101|шт/1|1.0|0.0|0.0|
2|62101|кор/24|24.0|0.0|0.0|
1|62102|шт/1|1.0|0.0|0.0|
2|62102|кор/24|24.0|0.0|0.0|
1|62103|шт/1|1.0|0.0|0.0|
2|62103|кор/25|25.0|0.0|0.0|
1|62104|шт/1|1.0|0.0|0.0|
2|62104|кор/25|25.0|0.0|0.0|
1|62105|шт/1|1.0|0.0|0.0|
2|62105|кор/12|12.0|0.0|0.0|
1|62106|шт/1|1.0|0.0|0.0|
2|62106|кор/26|26.0|0.0|0.0|
1|62107|шт/1|1.0|0.0|0.0|
1|62108|шт/1|1.0|0.0|0.0|
